name,description,id,image_id
Blur,"Blur er et engelsk rock band, stiftet i 1989 under navnet Seymour, men skiftede i 1990 navn til Blur efter krav fra deres pladeselskab Food Records. Bandet består af Damon Albarn (sang, klaver, keyboard), Graham Coxon (guitar, sang), Alex James (bas) og Dave Rowntree (trommer). Coxon forlod gruppen i 2002 for at koncentrere sig som sin solokarriere, men vendte tilbage til gruppen i 2009.

Gruppen var i begyndelsen af 90'erne ét af de første såkaldte britpop-bands, der sammen med Suede, Oasis og Pulp gjorde 60'er-inspireret rockmusik populær igen. Gruppen vendte sig dog væk fra britpoppen ved udgivelsen af Blur (1997) og 13 (1999) og begyndte at spille i en stil nærmere art-rock.

Efter 2003 holdt gruppen en pause, men vendte i 2009 ved en række koncerter i Storbritannien og i april 2010 lagde bandet singlen """"Fool's Day"""" ud til gratis download på bandets hjemmeside. De har efter gendannelsen turneret internationalt og udgivet albummet The Magic Whip (2015), der blev nr. 1 i England.",00febdcd-1356-4ee5-aeb0-26d14c0c6b1a,257b75e5-fc80-4517-9f22-bb378d0289fa
Electric Guitars,"Electric Guitars blev startet 2012 af de to danske guitarister, Mika Vandborg og Søren Andersen. Som begge er store guitarister på den danske musikscene. 

Mika Vandborg, den skæggede mand har siden 2009 været den nye guitarist i Love Shop, og du har sikkert også set ham med en stratocaster og en hvid cowboyhat spille med Gnags. Eller med kunstnere som Dicte/Hempler, Kasper Winding, Nikolaj & Piloterne eller ... Listen er lang, og samtidig laver han plader og turnerer med sit soloprojekt. 
Siden 2003 er det blevet til tre soloplader - ‘Under The Sun’ (2003), ‘2010’ (2010) og ‘Wall of Books’ (2013). Derudover udgav albummet ‘Future Garage Sale Item’ (2007) som et bandprojekt.

Søren Andersen den langhårede rockguitarist har de seneste år turneret med Deep Purple-legenden Glenn Hughes, der håndplukkede danskeren som lead guitarist til sit band. 
Derudover er han kendt som manden bag hittene i hedengangne Kick The Kangaroo, lige som han turnerer med kunstnere som Marco Mendoza og Mike Tramp.
I sommeren 2011 udkom hans første soloalbum, ‘Constant Replay’, der er produceret af Søren Andersen selv i Medley Studios, hvor han hjemmevant producerer og skriver numre til en stribe danske kunstnere.

Siden de startede deres turné i 2012, har de besøgt festivaler og afholdt afskillige koncerter landet over. Kendetegnet for dem alle er at guitaren er i centrum. Når Mika Vandborg og Søren Andersen går på scenen, bliver der spillet fremragende guitarrock, fyldt med guitar soloer og rå riffs. 

Når Electric Guitars går på scenen bakkes de op af Morten Hellborn på trommer og Peter Kjøbsted på bas.",019b7bbe-f030-43c7-a7a4-05d23ac86917,2eceaa22-9c12-4c17-a7a5-857b6ca95ae8
Mads Langer,"Langer er født i Aabenraa, men som 3-årig flyttede han og hans familie til Skive hvor han voksede op, her fattede han tidligt interesse for barndomshjemmets klaver og trommesæt. Han fortsatte interessen på Skive Musikskole, hvor musikere fra Superheroes, Carpark North og Dúné også har gået.[kilde mangler]

Efter at være blevet student fra Skive Gymnasium flyttede Mads Langer i 2003 til København, hvor han spillede med i en række jamsessions og lærte en række musikere at kende. Men vejen ind i musikbranchen kom, da han vendte hjem til Skive for at være dommer i en lokal musikkonkurrence. Her mødte han Kashmirs daværende manager, Brian Nielsen, og spillede nogle af sine sange for ham. Det førte til en kontrakt med pladeselskabet Copenhagen Records.[kilde mangler]",0508dbc1-457d-4d62-b148-577142a427ae,2d3eeb69-a61c-4d80-b73c-096d365e566e
Tim Christensen,"Tim Christensen er en dansk sanger, sangskriver og musiker, der fra 1988 til 1998 var sanger, guitarist og komponist for rock-trioen Dizzy Mizz Lizzy, hvis debutalbum solgte i alt 350.000 eksemplarer i Danmark og Japan.",05bf3c2e-e4cc-4150-81bf-9bd6c5969928,0ddc90ff-7acd-4a60-9e3c-1b136dc2908d
Aqua,"Aqua er en dansk dance-popgruppe med den norskfødte forsanger Lene Nystrøm og to danskfødte medlemmer René Dif (rap) og Søren Rasted (keyboard). Indtil 2016 indgik Claus Norréen (guitarist) også. Gruppen blev dannet i 1994 og fik internationalt gennembrud med deres fjerde single ""Barbie Girl"". I 2001 blev gruppen opløst og senere gendannet i 2007 [1]. Aqua er med 33 millioner solgte plader den mest succesrige danske musikgruppe nogensinde målt på salg.",230a3629-21ac-4e31-97ef-22b6d4a0d208,1177223c-aa27-4668-8d7e-8aedba538089
Infernal,Infernal er en dansk dance-popduo bestående af sangerinde og sangskriver Lina Rafn og producer og sangskriver Paw Lagermann.,23cfe32d-0c5f-4595-bc04-d57471dc2f6d,6df09b1a-8ddd-4094-af59-43eee69b6be8
Hej Matematik,"Hej Matematik er en dansk popduo bestående af Søren Rasted og hans nevø Nicolaj Rasted. Duoen udgav i 2007 singlerne ""Gymnastik"" og ""Centerpubben"" fra albummet Vi burde ses noget mere, udgivet på Copenhagen Records i februar 2008.",334faadf-a58f-4249-83b5-5c4b8d4acc80,322ac7ff-c81f-4633-8bc4-097483a8a993
Inside Llewyn Davis,"Inside Llewyn Davis' følger musikeren Llewyn Davis, der forsøger at slå igennem som folk-sanger i New York i 1961. Men hans dybtfølte, indadvendte musik passer ikke til musikbranchen, der søger den lettere og mere optimistiske poplyd. 

Det bliver derfor kun til små scenejobs på den lokale bule, og det lille pladeselskab, der tidligere har udgivet en duetindspilning med ham, tror ikke på hans fremtid som solokunstner. 

Pengene er der derfor ikke mange af, og Llewyn lever fra hånden til munden og overnatter på en sofa hos sin utilfredse veninde. Trods modstanden og forhindringerne nægter den lidende kunstner at give op og sætter kursen mod en større og potentielt mere indbringende fremtid. 

Trods den grundlæggende grå stemning, fornægter auteur-parrets tørre humor sig ikke. Men samtidig er ’Inside Llewyn Davis’ et nyt eksempel på, at instruktørerne på plotsiden formår at forny sig gang på gang, og i deres nyeste film foregår handlingen over en uge, hvilket ender med at blive en knivskarp pointe.

Filmen hylder den kreative bølge, der kom ud af Greenwich Village i perioden med en række folk-sange fremført til perfektion af bl.a. skuespillerne Oscar Isaac, Justin Timberlake og Carey Mulligan. 

’Inside Llewyn Davis’ appellerer dog til andre end folk-entusiaster med sine bredt favnende, filmiske kvaliteter og tankevækkende plot.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/insidellewyndavisplakat.jpg?itok=w2zypV6E",391a688f-ec68-4c8a-8191-fb62fa60b686,ef6ba452-76f0-4525-8fb3-5863ae821c7b
Bon Jovi,"Bon Jovi er et rockband, der oprindeligt stammer fra New Jersey, USA.

Bon Jovi blev dannet af forsangeren Jon Bon Jovi, guitaristen Richie Sambora, trommeslageren Tico Torres, pianisten David Bryan og bassisten Alec John Such i 1983. Alec John Such gik senere ud af bandet og blev erstattet af bassisten Hugh McDonald, som dog ikke betragtes som et officielt medlem af bandet.

Bon Jovi har solgt over 34 millioner album i USA[1], og over 120 millioner album i hele verden. Bon Jovis mest solgte album er Slippery When Wet fra 1986 med bl.a. en af bandets nok mest kendte sange, Livin' On a Prayer.",4a76ad12-371c-4241-9261-25dea372032b,1c980416-74b6-44f8-ba5b-f2aebbbddaff
Sort Sol,"Sort Sol er et dansk rockband, der startede som punkband i efteråret 1977 under navnet Sods. Gruppen har vundet ti danske Grammy-priser, heriblandt har albummene Flow My Firetear (1991) og Glamourpuss (1994) modtaget prisen for Årets danske album.

Gruppen deltog som Sods på punkopsamlingspladen Pære Punk i 1979 og i generations-manifestationen NÅ!!80 i Huset i Magstræde (i dag kaldet Huset-KBH), København i 1980. I skiftede 1983 Sods navn til Sort Sol.",4b98d807-abf9-4978-a87d-7c828ed3bbcf,ca9e0140-d7a9-4e8a-9032-1ef6e4f78d95
